row,run,epoch,kind,new_final,clean,leo_clear_weak,leo_low_elev_weak,leo_rain_weak,leo_mean,lineage_group,prediction_path,truth_path,record_count,clean_correct,leo_clear_weak_correct,leo_low_elev_weak_correct,leo_rain_weak_correct,clean_total,leo_clear_weak_total,leo_low_elev_weak_total,leo_rain_weak_total,hours
X0_A1_RUNTIME,a1_ecrs_cross_rx_s392005_20260909_r1,200,final,False,78.46964285714286,69.19999999999999,67.51071428571429,67.66309523809524,68.12460317460317,scratch,/home/szu2070436088/2510044040/CV-SincNet/runs/a1_ecrs_cross_rx_s392005_20260909_r1/X0_A1_RUNTIME/target_prediction/predictions.json,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_fcr_r1r8_s392005_equalized_20260903_v4/target_truth/truth_sidecar.json,672000,131829,116256,113418,113674,168000,168000,168000,168000,14.616294537848896
X1_CROSS_RX_CLEAN,a1_ecrs_cross_rx_s392005_20260909_r1,200,final,False,79.1327380952381,69.67023809523809,67.83214285714286,68.04761904761905,68.51666666666667,scratch,/home/szu2070436088/2510044040/CV-SincNet/runs/a1_ecrs_cross_rx_s392005_20260909_r1/X1_CROSS_RX_CLEAN/target_prediction/predictions.json,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_fcr_r1r8_s392005_equalized_20260903_v4/target_truth/truth_sidecar.json,672000,132943,117046,113958,114320,168000,168000,168000,168000,12.273815231323242
X2_CROSS_RX_VIEWS,a1_ecrs_cross_rx_s392005_20260909_r1,200,final,False,78.42023809523809,69.27678571428572,67.64345238095238,67.7017857142857,68.20734126984127,scratch,/home/szu2070436088/2510044040/CV-SincNet/runs/a1_ecrs_cross_rx_s392005_20260909_r1/X2_CROSS_RX_VIEWS/target_prediction/predictions.json,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_fcr_r1r8_s392005_equalized_20260903_v4/target_truth/truth_sidecar.json,672000,131746,116385,113641,113739,168000,168000,168000,168000,11.861913597914908
X3_WARM_EMA,a1_ecrs_cross_rx_s392005_20260909_r1,200,final,False,78.73392857142856,69.45595238095238,67.69940476190476,67.95238095238095,68.36924603174603,scratch,/home/szu2070436088/2510044040/CV-SincNet/runs/a1_ecrs_cross_rx_s392005_20260909_r1/X3_WARM_EMA/target_prediction/predictions.json,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_fcr_r1r8_s392005_equalized_20260903_v4/target_truth/truth_sidecar.json,672000,132273,116686,113735,114160,168000,168000,168000,168000,11.856156370573574
X4_COVERAGE_KL,a1_ecrs_cross_rx_s392005_20260909_r1,200,final,True,78.4297619047619,68.88511904761904,67.23928571428571,67.4375,67.85396825396825,scratch,/home/szu2070436088/2510044040/CV-SincNet/runs/a1_ecrs_cross_rx_s392005_20260909_r1/X4_COVERAGE_KL/target_prediction/predictions.json,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_fcr_r1r8_s392005_equalized_20260903_v4/target_truth/truth_sidecar.json,672000,131762,115727,112962,113295,168000,168000,168000,168000,16.8566218198008
X5_BALANCED_L,a1_ecrs_cross_rx_s392005_20260909_r1,200,final,False,78.25,65.4029761904762,64.03928571428571,64.10357142857143,64.51527777777778,scratch,/home/szu2070436088/2510044040/CV-SincNet/runs/a1_ecrs_cross_rx_s392005_20260909_r1/X5_BALANCED_L/target_prediction/predictions.json,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_fcr_r1r8_s392005_equalized_20260903_v4/target_truth/truth_sidecar.json,672000,131460,109877,107586,107694,168000,168000,168000,168000,10.499454331994057
X6_BOUNDED_DOMAIN,a1_ecrs_cross_rx_s392005_20260909_r1,200,final,True,78.73154761904762,68.27559523809525,66.46666666666667,66.54464285714286,67.09563492063492,scratch,/home/szu2070436088/2510044040/CV-SincNet/runs/a1_ecrs_cross_rx_s392005_20260909_r1/X6_BOUNDED_DOMAIN/target_prediction/predictions.json,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_fcr_r1r8_s392005_equalized_20260903_v4/target_truth/truth_sidecar.json,672000,132269,114703,111664,111795,168000,168000,168000,168000,16.82073209994369
X7_COMBINED,a1_ecrs_cross_rx_s392005_20260909_r1,200,final,False,75.99761904761905,65.05833333333332,63.463095238095235,63.774404761904755,64.0986111111111,scratch,/home/szu2070436088/2510044040/CV-SincNet/runs/a1_ecrs_cross_rx_s392005_20260909_r1/X7_COMBINED/target_prediction/predictions.json,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_fcr_r1r8_s392005_equalized_20260903_v4/target_truth/truth_sidecar.json,672000,127676,109298,106618,107141,168000,168000,168000,168000,10.691420422063933
A1_REFERENCE,a1_fast_selected_adv3b02_s392005_20260908_r1,200,final,False,76.73392857142856,68.88988095238095,66.9327380952381,67.07738095238095,67.63333333333333,historical_inherited_not_clean_generalization,/home/szu2070436088/2510044040/CV-SincNet/runs/a1_fast_selected_adv3b02_s392005_20260908_r1/A1_REFERENCE/target_prediction/predictions.json,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_fcr_r1r8_s392005_equalized_20260903_v4/target_truth/truth_sidecar.json,672000,128913,115735,112447,112690,168000,168000,168000,168000,12.6298305035962
A1_FAST_SEQUENTIAL,a1_fast_selected_adv3b02_s392005_20260908_r1,200,final,False,76.62142857142857,68.92023809523809,66.93452380952381,67.16726190476192,67.67400793650793,historical_inherited_not_clean_generalization,/home/szu2070436088/2510044040/CV-SincNet/runs/a1_fast_selected_adv3b02_s392005_20260908_r1/A1_FAST_SEQUENTIAL/target_prediction/predictions.json,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_fcr_r1r8_s392005_equalized_20260903_v4/target_truth/truth_sidecar.json,672000,128724,115786,112450,112841,168000,168000,168000,168000,12.233701516853438
