row,run,new,clean,leo_clear_weak,leo_low_elev_weak,leo_rain_weak,leo_mean,leo_min_scene,hours,peak_allocated_mib,peak_reserved_mib,source_clean_e200,lineage_group,prediction_path,truth_path
X0_A1_RUNTIME,a1_ecrs_cross_rx_s392005_20260909_r1,True,78.46964285714286,69.19999999999999,67.51071428571429,67.66309523809524,68.12460317460317,67.51071428571429,14.616294537848896,2818.19677734375,3026.0,98.51851851851852,scratch,/home/szu2070436088/2510044040/CV-SincNet/runs/a1_ecrs_cross_rx_s392005_20260909_r1/X0_A1_RUNTIME/target_prediction/predictions.json,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_fcr_r1r8_s392005_equalized_20260903_v4/target_truth/truth_sidecar.json
X1_CROSS_RX_CLEAN,a1_ecrs_cross_rx_s392005_20260909_r1,False,79.1327380952381,69.67023809523809,67.83214285714286,68.04761904761905,68.51666666666667,67.83214285714286,12.273815231323242,2836.58056640625,3702.0,98.46296296296296,scratch,/home/szu2070436088/2510044040/CV-SincNet/runs/a1_ecrs_cross_rx_s392005_20260909_r1/X1_CROSS_RX_CLEAN/target_prediction/predictions.json,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_fcr_r1r8_s392005_equalized_20260903_v4/target_truth/truth_sidecar.json
X2_CROSS_RX_VIEWS,a1_ecrs_cross_rx_s392005_20260909_r1,False,78.42023809523809,69.27678571428572,67.64345238095238,67.7017857142857,68.20734126984127,67.64345238095238,11.861913597914908,2834.26416015625,2922.0,98.47407407407407,scratch,/home/szu2070436088/2510044040/CV-SincNet/runs/a1_ecrs_cross_rx_s392005_20260909_r1/X2_CROSS_RX_VIEWS/target_prediction/predictions.json,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_fcr_r1r8_s392005_equalized_20260903_v4/target_truth/truth_sidecar.json
X3_WARM_EMA,a1_ecrs_cross_rx_s392005_20260909_r1,False,78.73392857142856,69.45595238095238,67.69940476190476,67.95238095238095,68.36924603174603,67.69940476190476,11.856156370573574,2842.34033203125,3022.0,98.5037037037037,scratch,/home/szu2070436088/2510044040/CV-SincNet/runs/a1_ecrs_cross_rx_s392005_20260909_r1/X3_WARM_EMA/target_prediction/predictions.json,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_fcr_r1r8_s392005_equalized_20260903_v4/target_truth/truth_sidecar.json
X5_BALANCED_L,a1_ecrs_cross_rx_s392005_20260909_r1,False,78.25,65.4029761904762,64.03928571428571,64.10357142857143,64.51527777777778,64.03928571428571,10.499454331994057,2745.0419921875,2976.0,98.56666666666666,scratch,/home/szu2070436088/2510044040/CV-SincNet/runs/a1_ecrs_cross_rx_s392005_20260909_r1/X5_BALANCED_L/target_prediction/predictions.json,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_fcr_r1r8_s392005_equalized_20260903_v4/target_truth/truth_sidecar.json
X7_COMBINED,a1_ecrs_cross_rx_s392005_20260909_r1,False,75.99761904761905,65.05833333333332,63.463095238095235,63.774404761904755,64.0986111111111,63.463095238095235,10.691420422063933,2826.61181640625,2928.0,98.5925925925926,scratch,/home/szu2070436088/2510044040/CV-SincNet/runs/a1_ecrs_cross_rx_s392005_20260909_r1/X7_COMBINED/target_prediction/predictions.json,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_fcr_r1r8_s392005_equalized_20260903_v4/target_truth/truth_sidecar.json
A1_REFERENCE,a1_fast_selected_adv3b02_s392005_20260908_r1,False,76.73392857142856,68.88988095238095,66.9327380952381,67.07738095238095,67.63333333333333,66.9327380952381,12.6298305035962,2874.751953125,3638.0,98.6,historical_inherited_not_clean_generalization,/home/szu2070436088/2510044040/CV-SincNet/runs/a1_fast_selected_adv3b02_s392005_20260908_r1/A1_REFERENCE/target_prediction/predictions.json,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_fcr_r1r8_s392005_equalized_20260903_v4/target_truth/truth_sidecar.json
A1_FAST_SEQUENTIAL,a1_fast_selected_adv3b02_s392005_20260908_r1,False,76.62142857142857,68.92023809523809,66.93452380952381,67.16726190476192,67.67400793650793,66.93452380952381,12.233701516853438,2785.501953125,2978.0,98.61481481481482,historical_inherited_not_clean_generalization,/home/szu2070436088/2510044040/CV-SincNet/runs/a1_fast_selected_adv3b02_s392005_20260908_r1/A1_FAST_SEQUENTIAL/target_prediction/predictions.json,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_fcr_r1r8_s392005_equalized_20260903_v4/target_truth/truth_sidecar.json
F1_RUNTIME,a1_fast_v2_s392005_20260909_r1,True,78.93571428571428,69.05714285714286,67.22440476190476,67.4047619047619,67.89543650793651,67.22440476190476,15.053945851723354,2827.0576171875,3720.0,98.52222222222223,scratch,/home/szu2070436088/2510044040/CV-SincNet/runs/a1_fast_v2_s392005_20260909_r1/F1_RUNTIME/target_prediction/predictions.json,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_fcr_r1r8_s392005_equalized_20260903_v4/target_truth/truth_sidecar.json
F3_COVERAGE_KL,a1_fast_v2_s392005_20260909_r1,True,78.90238095238095,68.33869047619048,66.56369047619047,66.87083333333334,67.2577380952381,66.56369047619047,15.275197673108842,2822.85546875,5140.0,98.45925925925926,scratch,/home/szu2070436088/2510044040/CV-SincNet/runs/a1_fast_v2_s392005_20260909_r1/F3_COVERAGE_KL/target_prediction/predictions.json,/home/szu2070436088/2510044040/CV-SincNet/runs/phase1_adv3b02_fcr_r1r8_s392005_equalized_20260903_v4/target_truth/truth_sidecar.json
